Sample_ID	Drug	Time	Replicate	Concentration
TH001_AP_100408_01C_A01	Methotrexate	6	1	IC20
TH001_AP_100408_01C_A02	Methotrexate	6	2	IC20
TH001_AP_100408_01C_A03	Methotrexate	6	3	IC20
TH001_AP_100408_01C_A04	Methotrexate	6	1	IC20_LOW
TH001_AP_100408_01C_A05	Methotrexate	6	2	IC20_LOW
TH001_AP_100408_01C_A06	DMSO	6	1	NONE
TH001_AP_100408_01C_A07	Blebbistatin	6	1	IC20
TH001_AP_100408_01C_A08	Blebbistatin	6	2	IC20
TH001_AP_100408_01C_A09	Blebbistatin	6	3	IC20
TH001_AP_100408_01C_A10	Blebbistatin	6	1	IC20_LOW
TH001_AP_100408_01C_A11	Blebbistatin	6	2	IC20_LOW
TH001_AP_100408_01C_A12	DMSO	6	2	NONE
TH001_AP_100408_01C_B01	Camptothecin	6	1	IC20
TH001_AP_100408_01C_B02	Camptothecin	6	2	IC20
TH001_AP_100408_01C_B03	Camptothecin	6	3	IC20
TH001_AP_100408_01C_B04	Camptothecin	6	1	IC20_LOW
TH001_AP_100408_01C_B05	Media	6	1	NONE
TH001_AP_100408_01C_B06	Methotrexate	6	3	IC20_LOW
TH001_AP_100408_01C_B07	Doxorubicin	6	1	IC20
TH001_AP_100408_01C_B08	Doxorubicin	6	2	IC20
TH001_AP_100408_01C_B09	Doxorubicin	6	3	IC20
TH001_AP_100408_01C_B10	Doxorubicin	6	1	IC20_LOW
TH001_AP_100408_01C_B12	Blebbistatin	6	3	IC20_LOW
TH001_AP_100408_01C_C01	Cycloheximide	6	1	IC20
TH001_AP_100408_01C_C02	Cycloheximide	6	2	IC20
TH001_AP_100408_01C_C03	Cycloheximide	6	3	IC20
TH001_AP_100408_01C_C04	Cycloheximide	6	1	IC20_LOW
TH001_AP_100408_01C_C05	Camptothecin	6	2	IC20_LOW
TH001_AP_100408_01C_C06	Camptothecin	6	3	IC20_LOW
TH001_AP_100408_01C_C07	Aclacinomycin	6	1	IC20
TH001_AP_100408_01C_C08	Aclacinomycin	6	2	IC20
TH001_AP_100408_01C_C09	Aclacinomycin	6	3	IC20
TH001_AP_100408_01C_C10	Aclacinomycin	6	1	IC20_LOW
TH001_AP_100408_01C_C11	Doxorubicin	6	2	IC20_LOW
TH001_AP_100408_01C_C12	Doxorubicin	6	3	IC20_LOW
TH001_AP_100408_01C_D01	Etoposide	6	1	IC20
TH001_AP_100408_01C_D02	Etoposide	6	2	IC20
TH001_AP_100408_01C_D03	Etoposide	6	3	IC20
TH001_AP_100408_01C_D04	DMSO	6	3	NONE
TH001_AP_100408_01C_D05	Cycloheximide	6	2	IC20_LOW
TH001_AP_100408_01C_D06	Cycloheximide	6	3	IC20_LOW
TH001_AP_100408_01C_D07	Geldanamycin	6	1	IC20
TH001_AP_100408_01C_D08	Geldanamycin	6	2	IC20
TH001_AP_100408_01C_D09	Geldanamycin	6	3	IC20
TH001_AP_100408_01C_D10	DMSO	6	4	NONE
TH001_AP_100408_01C_D11	Aclacinomycin	6	2	IC20_LOW
TH001_AP_100408_01C_D12	Aclacinomycin	6	3	IC20_LOW
TH001_AP_100408_01C_E01	Mitomycin	6	1	IC20
TH001_AP_100408_01C_E02	Mitomycin	6	2	IC20
TH001_AP_100408_01C_E04	Etoposide	6	1	IC20_LOW
TH001_AP_100408_01C_E05	Etoposide	6	2	IC20_LOW
TH001_AP_100408_01C_E06	Etoposide	6	3	IC20_LOW
TH001_AP_100408_01C_E07	Rapamycin	6	1	IC20
TH001_AP_100408_01C_E08	Rapamycin	6	2	IC20
TH001_AP_100408_01C_E09	Media	6	2	NONE
TH001_AP_100408_01C_E10	Geldanamycin	6	1	IC20_LOW
TH001_AP_100408_01C_E11	Geldanamycin	6	2	IC20_LOW
