team;rank;cindex;pvalue
utsw;1;0.613;1.00E-04
team-337;2;0.605;7.00E-04
team-556;3;0.6;9.00E-04
team-435;4;0.575;1.08E-02
team-359;5;0.566;2.13E-02
team-338;6;0.565;2.32E-02
team-377;7;0.562;2.82E-02
team-430;8;0.551;6.12E-02
team-429;9;0.533;1.58E-01
team-407;10;0.53;1.81E-01
team-105;11;0.528;1.91E-01
team-316;12;0.528;1.96E-01
team-415;13;0.52;2.72E-01
team-350;14;0.519;2.81E-01
team-348;15;0.516;3.06E-01
team-515;16;0.509;3.81E-01
team-568;17;0.507;4.07E-01
team-522;18;0.507;4.12E-01
team-454;19;0.505;4.32E-01
team-496;20;0.496;5.41E-01
team-383;21;0.49;6.17E-01
team-456;22;0.486;6.65E-01
team-572;23;0.472;7.93E-01
team-421;24;0.468;8.24E-01
team-420;25;0.454;9.12E-01
team-352;26;0.445;9.48E-01
team-380;27;0.443;9.52E-01
team-405;28;0.435;9.72E-01
team-382;29;0.43;9.81E-01
team-558;30;0.423;9.89E-01
team-77;31;0.42;9.91E-01
