segment.id	ID	chrom	loc.start	loc.end	num.mark	seg.mean	copy.number	segment.size.kb
1	DLBCL_Ly3	1	51586	2463118	531	-0.4242	1.490503745	2411.532
2	DLBCL_Ly3	1	2472781	5934188	2382	-0.6016	1.318045341	3461.407
3	DLBCL_Ly3	1	5934480	14301837	4487	-0.4824	1.43157177	8367.357
4	DLBCL_Ly3	1	14307433	15189805	726	-0.6989	1.232083472	882.372
5	DLBCL_Ly3	1	15190986	16015547	555	-0.4961	1.418041741	824.561
6	DLBCL_Ly3	1	16019607	16027585	23	0.316	2.489748471	7.978
7	DLBCL_Ly3	1	16038248	16889653	387	-0.4291	1.485449954	851.405
8	DLBCL_Ly3	1	16890105	17131709	100	-0.8798	1.086885526	241.604
9	DLBCL_Ly3	1	17131895	17929104	546	-0.4217	1.49308883	797.209
10	DLBCL_Ly3	1	17929726	19277824	1074	-0.6063	1.31375841	1348.098
11	DLBCL_Ly3	1	19280058	25455916	3825	-0.4643	1.449645356	6175.858
12	DLBCL_Ly3	1	25465703	25519561	30	-1.6736	0.626940311	53.858
13	DLBCL_Ly3	1	25534076	29947066	1959	-0.4259	1.488748444	4412.99
14	DLBCL_Ly3	1	29947197	30400206	385	-0.7167	1.216975395	453.009
15	DLBCL_Ly3	1	30400299	31394002	746	-0.4646	1.449343942	993.703
16	DLBCL_Ly3	1	31396242	31397921	2	-3.9606	0.128460792	1.679
17	DLBCL_Ly3	1	31397976	33459907	947	-0.4248	1.489883991	2061.931
18	DLBCL_Ly3	1	33462137	34875229	1067	-0.5891	1.32951495	1413.092
19	DLBCL_Ly3	1	34875245	34877066	19	-2.7212	0.303296341	1.821
20	DLBCL_Ly3	1	34886855	36754349	874	-0.4445	1.469677897	1867.494
21	DLBCL_Ly3	1	36754688	37671243	659	-0.5855	1.332836671	916.555
22	DLBCL_Ly3	1	37671500	47624468	5656	-0.443	1.471206746	9952.968
23	DLBCL_Ly3	1	47624553	48907513	957	-0.6072	1.312939101	1282.96
24	DLBCL_Ly3	1	48907849	55592852	3763	-0.4584	1.455585919	6685.003
25	DLBCL_Ly3	1	55593029	61885690	4986	-0.5466	1.369263401	6292.661
26	DLBCL_Ly3	1	61886582	61890763	5	-2.1274	0.457739913	4.181
27	DLBCL_Ly3	1	61892397	61907702	22	-0.5419	1.37373145	15.305
28	DLBCL_Ly3	1	61907944	75823432	9437	-0.4863	1.427707065	13915.488
29	DLBCL_Ly3	1	75827339	75827430	2	-3.9662	0.127963122	0.091
30	DLBCL_Ly3	1	75832085	89247831	9257	-0.4807	1.433259657	13415.746
31	DLBCL_Ly3	1	89249015	89250781	3	-2.8584	0.275781961	1.766
32	DLBCL_Ly3	1	89254100	95446312	3996	-0.482	1.431968741	6192.212
33	DLBCL_Ly3	1	95446425	98734574	1999	-0.5935	1.325466309	3288.149
34	DLBCL_Ly3	1	98734744	100066952	926	-0.5068	1.407563492	1332.208
35	DLBCL_Ly3	1	100068349	115403642	9895	-0.4444	1.46977977	15335.293
36	DLBCL_Ly3	1	115404021	118888635	2389	-0.5358	1.379552155	3484.614
37	DLBCL_Ly3	1	118892487	118895746	3	1.5241	5.752144826	3.259
